ticker,name,bucket,decision_priority,entry_bias,buy_zone_low,buy_zone_high,stop_loss,add_rule,trim_rule,decision_reason
3213.TWO,茂訊,low_price_health,29.0,分批試單,113.01,115.5,107.4,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=品質價值優先、Q/V=4/4
3592.TW,瑞鼎,quality_value_research,28.0,分批試單,239.4,249.5,224.65,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=品質價值優先、Q/V=4/4
6161.TWO,捷波,low_price_health,27.0,等拉回,42.25,43.28,40.65,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質價值優先、Q/V=5/4
3515.TW,華擎,quality_value_research,26.0,等轉強,230.95,234.29,220.93,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=5/4、PULLBACK
6996.TWO,力領科技,quality_value_research,24.5,等拉回,178.64,184.55,164.5,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質價值優先、Q/V=5/3
3034.TW,聯詠,quality_value_research,24.0,分批試單,462.02,477.0,440.03,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=品質價值優先、Q/V=5/2
3158.TWO,嘉實,quality_value_research,24.0,等轉強,90.21,90.89,87.25,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4、PULLBACK
3556.TWO,禾瑞亞,quality_value_research,24.0,等轉強,51.3,52.81,46.01,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4
4953.TWO,緯軟,quality_value_research,24.0,等轉強,120.67,122.23,116.0,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4
3005.TW,神基,quality_value_research,23.0,等轉強,98.58,99.57,95.62,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4、PULLBACK
3008.TW,大立光,quality_value_research,22.0,等轉強,2585.25,2635.27,2385.15,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4
4995.TWO,晶達,quality_value_research,22.0,等轉強,42.79,43.36,41.07,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4
2441.TW,超豐,quality_value_research,21.5,等轉強,91.01,93.66,83.06,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/3
8261.TW,富鼎,quality_value_research,21.5,等拉回,119.6,122.71,106.4,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質價值優先、Q/V=4/3
5288.TW,豐祥-KY,quality_value_research,21.0,暫不急,164.45,152.5,153.15,只追蹤，不主動建立部位,訊號改善前不處理,technical=暫不急、fundamental=品質價值優先、Q/V=5/4
2450.TW,神腦,quality_value_research,20.5,等轉強,29.91,30.1,29.33,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/3
7753.TWO,星亞,quality_value_research,19.0,等轉強,42.36,43.5,38.94,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=可研究但需確認、Q/V=3/4
2356.TW,英業達,low_price_health,18.5,研究試單,48.68,50.4,46.15,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=資料/品質不足、Q/V=1/3
2376.TW,技嘉,quality_value_research,18.5,等拉回,298.32,309.77,248.12,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質價值優先、Q/V=4/3
6962.TW,奕力-KY,low_price_health,18.5,研究試單,35.4,37.5,32.36,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=資料/品質不足、Q/V=2/1
2881.TW,富邦金,low_price_health,18.0,等拉回,92.33,93.91,87.53,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=可研究但需確認、Q/V=3/4
5490.TWO,同亨,quality_value_research,16.0,等轉強,26.94,27.36,25.67,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=可研究但需確認、Q/V=3/4
5299.TWO,杰力,quality_value_research,15.5,等轉強,86.28,88.13,79.38,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=可研究但需確認、Q/V=3/3
6292.TWO,迅德,quality_value_research,15.5,等拉回,50.11,52.24,44.47,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質價值優先、Q/V=4/3
5203.TW,訊連,quality_value_research,15.0,等轉強,64.33,65.22,61.67,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=資料/品質不足、Q/V=2/4、PULLBACK
6751.TWO,智聯服務,quality_value_research,15.0,暫不急,51.62,50.5,49.86,只追蹤，不主動建立部位,訊號改善前不處理,technical=暫不急、fundamental=可研究但需確認、Q/V=3/4、PULLBACK
6776.TW,展碁國際,quality_value_research,15.0,暫不急,59.02,58.8,56.34,只追蹤，不主動建立部位,訊號改善前不處理,technical=暫不急、fundamental=可研究但需確認、Q/V=3/4、PULLBACK
1560.TW,中砂,quality_value_research,14.0,等拉回,562.58,592.86,484.82,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質佳但估值要等、Q/V=5/0
